ID,Package Label,Distru Product,Status,Metrc Status,Assembling Quantity,Available Quantity,Quantity,Unit Type,Unit Cost (Actual),Unit Cost (Default),Total Cost (Actual),Total Cost (Default),License Number,Location,Metrc Location,Lab Testing State,Lab Testing Updated Date,Is Test Sample,Is Trade Sample,THC %,THC mg/g,THC mg/mL,Total THC %,Total THC mg/g,Total THC mg/mL,CBD %,CBD mg/g,CBD mg/mL,Total CBD %,Total CBD mg/g,Total CBD mg/mL,Metrc Production Batch Number,Distru Batch Number,Description,Category,Subcategory,Created in Distru At (UTC),Packaged Date,Lot Number,Package Date,Production Strain,I/H/S/LO,Total THC mg - .5g Concentrate,Total THC mg - 1g Concentrate,Total THC mg/unit,Total THC mg/2 pack,Total THC mg/4 Pack,Total THC mg/10 Pack,Total THC mg/Package,Total THC mg/g,Protab/Hashtab,Production Flavor,Trim Strain,3rd Party Batch Number,Total THC mg/100 Pack,Total THC mg/50 Pack,STRAIN,Expiration Date,Harvest Batch,Bins,Metrc Item,Harvest Date
21322910,1A404030000232A000061920,SRENE - 1g Cart - Melonade,active,active,0,24,24,ea,0.83,2.24,19.81,53.84,08542800532746610043,Inventory - Production,Packaging - Production,TestPassed,2025-12-08,No,No,84.97,849.7,,84.97,849.7,,0,0,,0,0,,,P-7.236,,Non-Solvent Based Concentrate (Each),1g Cart,2025-12-26 19:23:54.711861Z,2025-12-26,,,Melonade,Hybrid,,849.7,,,,,,,,,,,,,,,,,SRENE - 1g Cart - Melonade,2025-07-07
22384314,1A4040300002329000047484,SRENE - 3.5 grams - Jar - Rose Sorbet,active,active,0,87.5,87.5,g,0.14,0.12,12.36,10.21,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-01-30,No,No,0.444,4.44,,26.2146,262.146,,0,0,,0.0456,0.456,,,251229-H233.4_Rosé Sorbet Lot 2,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-06 00:18:53.858817Z,2026-02-05,,02/05/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Rose Sorbet,2025-12-29
22518822,1A404030000232A000068087,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,active,active,0,25,25,ea,1.59,1.02,39.67,25.44,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2025-11-17,No,No,0.293,2.93,,0.293,2.93,,0.301,3.01,,0.301,3.01,,,P-HEB2,,Infused Edible,10pk Gummy,2026-02-11 18:29:52.113389Z,2026-02-11,,,,,,,9.96,,,99.6,,,,Hibiscus Elderberry 1:1,,,,,,2026-05-13,,,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,2024-09-11
22518830,1A404030000232A000068095,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,active,active,0,25,25,ea,1.59,1.02,39.67,25.44,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2025-11-17,No,No,0.293,2.93,,0.293,2.93,,0.301,3.01,,0.301,3.01,,,P-HEB2,,Infused Edible,10pk Gummy,2026-02-11 18:29:52.113389Z,2026-02-11,,,,,,,9.96,,,99.6,,,,Hibiscus Elderberry 1:1,,,,,,2026-05-13,,,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,2024-09-11
22518843,1A404030000232A000068108,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,active,active,0,25,25,ea,1.59,1.02,39.67,25.44,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2025-11-17,No,No,0.293,2.93,,0.293,2.93,,0.301,3.01,,0.301,3.01,,,P-HEB2,,Infused Edible,10pk Gummy,2026-02-11 18:29:52.113389Z,2026-02-11,,,,,,,9.96,,,99.6,,,,Hibiscus Elderberry 1:1,,,,,,2026-05-13,,,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,2024-09-11
22712230,1A4040300002329000048043,SRENE - 3.5 grams - Jar - Zero Gravity,active,active,0,87.5,87.5,g,0.09,0.11,8.01,9.81,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-02-16,No,No,0.093,0.93,,32.792,327.92,,0,0,,0.062,0.62,,,260120-H235.6_Zero Gravity Lot 1,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-18 22:57:31.274689Z,2026-02-18,,02/18/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Zero Gravity,2026-01-20
22712211,1A4040300002329000048024,SRENE - 3.5 grams - Jar - Zero Gravity,active,active,0,87.5,87.5,g,0.09,0.11,8.01,9.81,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-02-16,No,No,0.093,0.93,,32.792,327.92,,0,0,,0.062,0.62,,,260120-H235.6_Zero Gravity Lot 1,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-18 22:57:31.274689Z,2026-02-18,,02/18/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Zero Gravity,2026-01-20
22712212,1A4040300002329000048025,SRENE - 3.5 grams - Jar - Zero Gravity,active,active,0,87.5,87.5,g,0.09,0.11,8.01,9.81,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-02-16,No,No,0.093,0.93,,32.792,327.92,,0,0,,0.062,0.62,,,260120-H235.6_Zero Gravity Lot 1,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-18 22:57:31.274689Z,2026-02-18,,02/18/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Zero Gravity,2026-01-20
22712213,1A4040300002329000048026,SRENE - 3.5 grams - Jar - Zero Gravity,active,active,0,87.5,87.5,g,0.09,0.11,8.01,9.81,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-02-16,No,No,0.093,0.93,,32.792,327.92,,0,0,,0.062,0.62,,,260120-H235.6_Zero Gravity Lot 1,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-18 22:57:31.274689Z,2026-02-18,,02/18/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Zero Gravity,2026-01-20
22712214,1A4040300002329000048027,SRENE - 3.5 grams - Jar - Zero Gravity,active,active,0,87.5,87.5,g,0.09,0.11,8.01,9.81,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-02-16,No,No,0.093,0.93,,32.792,327.92,,0,0,,0.062,0.62,,,260120-H235.6_Zero Gravity Lot 1,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-18 22:57:31.274689Z,2026-02-18,,02/18/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Zero Gravity,2026-01-20
22374841,1A404030000232A000067911,SRENE - 1g Cart - Tropical Breath,active,active,0,50,50,ea,1.06,2.24,52.78,112.16,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2026-01-21,No,No,92.611,926.11,,92.611,926.11,,0,0,,0,0,,,P-7.253,,Non-Solvent Based Concentrate (Each),1g Cart,2026-02-05 20:30:58.136867Z,2026-02-05,,,Tropical Breath,Hybrid,,,,,,,,,,,,,,,,,,,SRENE - 1g Cart - Tropical Breath,2025-05-12
22712215,1A4040300002329000048028,SRENE - 3.5 grams - Jar - Zero Gravity,active,active,0,87.5,87.5,g,0.09,0.11,8.01,9.81,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-02-16,No,No,0.093,0.93,,32.792,327.92,,0,0,,0.062,0.62,,,260120-H235.6_Zero Gravity Lot 1,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-18 22:57:31.274689Z,2026-02-18,,02/18/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Zero Gravity,2026-01-20
22712216,1A4040300002329000048029,SRENE - 3.5 grams - Jar - Zero Gravity,active,active,0,87.5,87.5,g,0.09,0.11,8.01,9.81,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-02-16,No,No,0.093,0.93,,32.792,327.92,,0,0,,0.062,0.62,,,260120-H235.6_Zero Gravity Lot 1,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-18 22:57:31.274689Z,2026-02-18,,02/18/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Zero Gravity,2026-01-20
18043875,1A404030000232A000047300,LEVEL Protab - Lights Out - 10pk - 20mg,active,active,0,3,3,ea,0.88,0.01,2.65,0.03,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2025-07-21,No,No,10.256,102.56,,10.256,102.56,,0,0,,0,0,,,NVPT250716LO,,Capsule/Tablet,LEVEL - 10pk,2025-08-08 15:45:58.018003Z,2025-08-08,,,,Lights Out,,,,,,205.1,,,Protab,,,,,,,,,,LEVEL Protab - Lights Out - 10pk - 20mg,2022-09-14
22518828,1A404030000232A000068093,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,active,active,0,25,25,ea,1.59,1.02,39.67,25.44,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2025-11-17,No,No,0.293,2.93,,0.293,2.93,,0.301,3.01,,0.301,3.01,,,P-HEB2,,Infused Edible,10pk Gummy,2026-02-11 18:29:52.113389Z,2026-02-11,,,,,,,9.96,,,99.6,,,,Hibiscus Elderberry 1:1,,,,,,2026-05-13,,,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,2024-09-11
22518837,1A404030000232A000068102,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,active,active,0,25,25,ea,1.59,1.02,39.67,25.44,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2025-11-17,No,No,0.293,2.93,,0.293,2.93,,0.301,3.01,,0.301,3.01,,,P-HEB2,,Infused Edible,10pk Gummy,2026-02-11 18:29:52.113389Z,2026-02-11,,,,,,,9.96,,,99.6,,,,Hibiscus Elderberry 1:1,,,,,,2026-05-13,,,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,2024-09-11
22518842,1A404030000232A000068107,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,active,active,0,25,25,ea,1.59,1.02,39.67,25.44,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2025-11-17,No,No,0.293,2.93,,0.293,2.93,,0.301,3.01,,0.301,3.01,,,P-HEB2,,Infused Edible,10pk Gummy,2026-02-11 18:29:52.113389Z,2026-02-11,,,,,,,9.96,,,99.6,,,,Hibiscus Elderberry 1:1,,,,,,2026-05-13,,,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,2024-09-11
22518845,1A404030000232A000068110,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,active,active,0,25,25,ea,1.59,1.02,39.67,25.44,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2025-11-17,No,No,0.293,2.93,,0.293,2.93,,0.301,3.01,,0.301,3.01,,,P-HEB2,,Infused Edible,10pk Gummy,2026-02-11 18:29:52.113389Z,2026-02-11,,,,,,,9.96,,,99.6,,,,Hibiscus Elderberry 1:1,,,,,,2026-05-13,,,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,2024-09-11
