Date,"Feb  1, 2026 to Mar  3, 2026"
Filters,"Sales Order Status: Pending, Processing, Ready to ship, Delivering, Delivered, Completed"

Name,SKU,Quantity Sold,Total Sales,Unit Type,Category,Subcategory,Group,Vendor,Product Owner,Unit Cost,Sale Price,Wholesale Price,Shipped From License,UPC
SRENE - 3.5 grams - Jar - Zero Gravity,SRE-3.5-JAR-ZEG,525,8250.00,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Wholesale,SSAC (C),Brandon Green,,16.00,,17334914845519714402,
LEVEL Protab - Lights Out - 10pk - 20mg,LEV-PRO-10P-LO,500,8140.00,Unit,Capsule/Tablet,LEVEL - 10pk,Wholesale,SSAC (P),James Ferrari,,16.00,,08542800532746610043,
VYBZ - 3.5 grams - Tropicana Acai,VYB-3.5-MYL-TRA,738,7956.00,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Mylar,Wholesale,SSAC (C),James Ferrari,,12.00,10.0,17334914845519714402,
SRENE - 1g Cart - Purple Haze,SRE-1g-CRT-PUH,760,7875.50,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),Brandon Green,,12.00,,08542800532746610043,
SRENE - 1g Cart - Blueberry Moon,SRE-1g-CRT-BLM,685,7607.50,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),Brandon Green,,12.00,12.0,08542800532746610043,
SRENE - 3.5 grams - Jar - Rose Sorbet,SRE-3.5-JAR-ROS,475,7600.00,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Wholesale,SSAC (C),Brandon Green,,16.00,,17334914845519714402,
SRENE - 3.5 grams - Jar - Limesicle,SRE-3.5-JAR-LIM,475,7375.00,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Wholesale,SSAC (C),Brandon Green,,16.00,,17334914845519714402,
SRENE - BioFuel - Pre Roll - .7g - 5 Pack,SRE- PRJ - BIO - .7 - 5pk,700,7000.00,Unit,Pre-rolled cigs/joints,5pk Pre-Roll,Wholesale,SSAC (C),Beau Meyer,,14.00,,17334914845519714402,
Packaging Services $1.50/unit,PKG - SER - 1.50,4441,6661.50,Unit,Services,Service Charge,,SRENE,James Ferrari,0.00,0.00,,,
LEVEL Hashtab - Sativa - 10pk - 25mg,LEV-HAS-10P-SAT,360,6560.00,Unit,Capsule/Tablet,LEVEL - 10pk,Wholesale,SSAC (P),,,20.00,20.0,08542800532746610043,
